member_id,member_name,task_id,sprint,priority,status,branch,base_branch,pr_number,pr_target,module,task_summary,dependencies,blockers,allowed_files,prohibited_scope,local_tests,required_ci_checks,final_sha_required,deliverables,acceptance_criteria,next_action
1,成员1,S1-L01,Sprint 1,P0,进行中,docs/sprint1-integration-contracts,develop,,develop,集成管理,冻结跨模块接口并维护唯一正式名称,全员接口提供方确认,缺少00_integration_contracts.md,docs/member_tasks/README.md；docs/member_tasks/00_integration_contracts.md,不代替成员修改业务代码；不修改冻结Spec,文档链接和接口名称一致性检查,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,接口契约文档；成员确认记录,所有跨模块接口具备输入输出错误行为和负责人,补齐接口契约并收集成员确认
1,成员1,S1-L02,Sprint 1,P0,进行中,docs/sprint1-integration-contracts,develop,,develop,集成管理,组织Sprint 1 Review和集成门禁,S1-M301；S1-M401；S1-M501,PR #3待修复；PR #4和PR #6需返工,docs/member_tasks/README.md；docs/reviews/,不绕过Review；不强推；不在检查未完成时合并,集成候选完整测试,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,PR清单；集成测试输出；门禁结论,集成结论绑定明确最终SHA和CI运行,督促PR处置并确定集成顺序
2,成员2,S1-A01,Sprint 1,P1,已完成,已合入develop,develop,5,main,配置基线,实现OS环境变量优先级并保留.env支持,Sprint 0配置基线,无,config/settings.py；tests/test_settings.py,不引入额外配置框架；不输出Secret,环境变量优先级测试；Django配置检查,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,配置测试；合入记录,配置读取优先级与冻结规则一致,持续维护回归测试
2,成员2,S1-A02,Sprint 1,P1,已完成并持续维护,后续使用fix/ci-*或chore/ci-*,develop,7,develop,CI,维护双平台CI和仓库守卫,S1-A01,分支保护尚待负责人确认,.github/workflows/ci.yml；scripts/ci_guard.py；tests/test_ci_guard.py,不自动部署；不自动合并；不使用真实Secret,check；迁移检查；空库迁移；完整测试；污染检查,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,CI运行链接；固定检查名称；维护说明,Ubuntu和Windows在同一最终SHA成功,向成员1提交分支保护建议
3,成员3,S1-M301,Sprint 1,P0,打回重做,fix/student-auth-review,develop,6,develop,学生认证,实现姓名学号登录Session退出和访问保护,S1-L01,PR #6目标为main且源头错误并存在冲突,apps/accounts/forms.py；apps/accounts/views.py；apps/accounts/urls.py；apps/accounts/decorators.py；templates/accounts/student_login.html,不新增学生账号模型；不实现完整失败次数限制；不整体合并PR #6,学生登录；Session；退出；越权；失效ID测试,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,PR #6处置记录；返工PR；Module Notes,student_id等于Student主键且请求参数不能覆盖身份,关闭或转Draft PR #6并从最新develop返工
3,成员3,S1-M302,Sprint 1,P0,待开始,fix/student-auth-review,develop,,develop,学生认证,补齐认证测试和成员4调用文档,S1-M301,S1-M301返工未完成,tests/test_student_auth.py；docs/04_module_notes/student_auth.md,不记录真实姓名学号；不伪造测试结果,认证正常异常边界测试,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,测试输出；Session断言；接口示例,成员4可直接复用保护工具,随S1-M301在同一返工PR交付
4,成员4,S1-M401,Sprint 1,P0,阻塞,feature/student-profile,develop,,develop,学生个人页,从Session读取本人并展示材料信息,S1-M301,成员3合格认证接口尚未交付,apps/students/views.py；apps/students/urls.py；templates/students/student_profile.html,不接受目标学生ID；不写业务数据；不修改冻结模型,本人展示；空关联；排序；越权测试,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,个人页PR；单元测试；Module Notes,只能展示Session对应学生且无业务写入,等待成员3返工接口后从最新develop建分支
4,成员4,S1-M402,Sprint 1,P0,阻塞,feature/student-profile,develop,,develop,学生端联调,完成登录到个人页再退出的请求链,S1-M301；S1-M401,成员3接口未稳定,tests/test_student_flow_integration.py；docs/04_module_notes/student_profile.md,不重新实现登录；不依赖PR #6旧分支,学生端完整流程测试,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,联调测试；页面截图；接口确认,登录跳转本人展示退出再访问拒绝完整通过,与成员3在最终接口SHA上联调
5,成员5,S1-M501,Sprint 1,P0,Request Changes,feature/admin-query,develop,3,develop,管理员查询,修复POST退出筛选校验和分页参数,最新develop；S1-L01,分支落后develop且存在配置重叠,apps/accounts/views.py；apps/accounts/urls.py；apps/accounts/decorators.py；apps/accounts/mixins.py；apps/students/views.py,不实现Excel解析导入回滚；不用前端隐藏代替权限,管理员登录退出权限筛选异常参数测试,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,PR #3差异；修复测试；Module Notes,AQ-B001和AQ-M005复测通过,同步最新develop并更新PR #3
5,成员5,S1-M502,Sprint 1,P1,Request Changes,feature/admin-query,develop,3,develop,管理员查询,补齐列表详情字段审计服务和自动化测试,S1-M501,S1-M501未完成,apps/audit/services.py；templates/base.html；templates/students/admin_student_list.html；templates/students/admin_student_detail.html；tests/test_admin_query.py,不修改冻结模型；不伪造测试结论,权限矩阵；五类筛选；404；空数据；OperationLog测试,Repository policy；Django tests (ubuntu-latest)；Django tests (windows-latest),是,权限矩阵；OperationLog断言；更新Module Notes,原任务完成定义满足且Review可批准,完成P0后在PR #3补齐交付
